,year,bcc-csm1-1,CCSM4,CSIRO-Mk3L,FGOALS-gl,GISS-E2-R,HadCM3,IPSL-CM5A-LR,MIROC-ES2L,MPI-ESM-P,MRI-CGCM3,MRI-ESM2-0,CESM1-LME,CESM2,MPI-ESM1-2-LR,EC-Earth3-Veg-LR,MIROC-ESM,INM-CM4-8
944,1794,286.6623732,284.5727665,287.0896408,286.6976291,287.4469213,286.6110109,285.0050208,288.2692,286.659006,286.5902821,287.4339772,286.3254918,284.8330354,286.3881866,287.2749306,287.8444633,286.3925781
945,1795,286.7648168,284.5465507,287.0452377,286.8046342,287.5172496,286.4427528,285.0515948,288.27582,286.7298571,286.6692736,287.4551689,285.9808907,284.7056092,286.1005648,287.2990894,287.7156899,286.4498291
946,1796,286.7039081,284.6073588,287.1205722,286.5862974,287.3501253,286.3378498,284.8479598,288.27545,286.642473,286.6862873,287.2421267,285.9430707,284.8575876,285.8828426,287.2715647,287.8692751,286.4120483
947,1797,286.6720285,284.6069672,287.1132717,286.7216091,287.3216727,286.4985398,284.9180887,288.3241,286.8602214,286.6858697,287.1456247,286.1119383,284.8839697,286.0260705,287.3112323,287.8959362,286.4820862
948,1798,286.6275138,284.3906788,287.0048678,286.825321,287.4088766,286.5677118,284.8440516,288.3977,286.6760885,286.6754788,287.1462544,286.1895018,284.8236628,286.1311508,287.3233662,287.8349916,286.4452209
949,1799,286.7087595,284.5212486,287.0183452,286.9544187,287.3567525,286.4846369,284.9892664,287.96713,286.3763668,286.606926,287.2676275,286.4449048,284.7845713,286.3856973,287.3726285,287.7954868,286.5481873
950,1800,286.6819211,284.6790988,286.950109,286.986932,287.3620693,286.2948919,285.0350484,287.8368,286.3760627,286.7002122,287.3762797,286.2267069,284.7181097,286.4974045,287.3922951,287.7283226,286.5740051
951,1801,286.6411418,284.7803381,286.985557,286.6900405,287.4284689,286.3185278,285.053002,287.99243,286.6052357,286.8643947,287.2137758,286.0692741,284.9352223,286.3253513,287.4908761,287.9477307,286.5487061
952,1802,286.5618885,284.4619666,286.9496993,286.6834057,287.456518,286.3240345,284.9705794,288.15076,286.5387049,286.8476744,287.241124,286.1628142,284.9599334,286.1776636,287.7095649,287.972703,286.5777893
953,1803,286.6821716,284.5226684,286.9454257,286.8834832,287.3507433,286.4719179,284.9031854,288.20374,286.5055891,286.734957,287.318621,286.315421,284.9395694,286.3929011,287.6864189,287.9521237,286.472229
954,1804,286.7174945,284.662229,287.0475931,286.9015925,287.4140855,286.448184,285.0534504,288.16562,286.6137019,286.6961604,287.4618032,286.3924462,284.7709112,286.4403366,287.4564078,287.7816824,286.5273743
955,1805,286.626796,284.8657434,287.1346749,286.5632793,287.4306866,286.3523509,285.0977048,288.2507,286.7058093,286.8130648,287.4737809,286.1767335,284.9850559,286.3772172,287.3490808,287.9980912,286.4978027
956,1806,286.698185,284.6833333,287.0433573,286.8016817,287.3893173,286.4321688,284.874078,288.31302,286.6494358,286.6936938,287.1656585,286.0333468,284.8140265,286.3907996,287.6511709,287.8252536,286.4911194
957,1807,286.7133247,284.6582481,287.0061451,286.9184902,287.4809994,286.5197394,284.8349343,288.11682,286.5971568,286.7643265,287.3445347,286.1793467,284.7565254,286.5246709,287.6021486,287.7671445,286.4141541
958,1808,286.6385253,284.6928892,286.7828966,287.1080023,287.4235802,286.4329475,284.7939726,288.12314,286.5319549,286.7178979,287.3873948,286.2380164,284.856641,286.4338469,287.6494967,287.8683186,285.7264404
959,1809,286.5407211,284.3371369,286.4815853,286.7247007,286.8958115,286.2580841,284.4841367,287.698,286.15627,286.6653237,286.9337387,286.1441555,284.8395895,286.2774231,287.2833855,287.8510867,285.4898682
960,1810,286.5741905,283.8523926,286.6055947,286.708841,286.7010796,285.8898621,284.384026,287.3937,286.0029421,286.7351838,286.8588637,285.8554072,284.1878047,286.3185227,286.9932407,287.1924109,285.8715515
961,1811,286.5821742,284.1836443,286.7816703,286.7264877,286.8006844,285.8568924,284.5693378,287.35883,286.1614568,286.7476604,286.9667401,285.6852695,284.0064232,286.2519455,287.0784001,287.0091118,286.0462341
962,1812,286.5299503,284.4360043,286.9115424,286.82573,287.1306334,285.970374,284.6722791,287.65393,286.1523291,286.7009791,287.1610565,285.7750192,284.0563807,286.2525007,287.2345091,287.0595974,286.1468506
963,1813,286.6074933,284.5483054,287.072388,286.5946597,287.3478536,286.3578447,284.7485988,287.94556,286.204353,286.6858967,287.3808947,285.8912922,284.338541,286.2659197,287.3520969,287.3447409,286.1736145
964,1814,286.5018933,284.5768628,286.7144423,286.7194923,287.360543,286.3229162,284.748732,288.07443,286.214338,286.7320758,287.3940156,286.1369752,284.459178,286.4780833,287.5392948,287.4666533,285.7887878
965,1815,286.3687817,284.0021692,286.2955305,286.6933911,286.7503585,285.9021806,284.4545023,287.49017,286.0074775,286.7567415,287.2365963,285.9045858,284.0777193,286.4324509,287.1619783,287.0811616,284.6846619
966,1816,286.3623664,283.4374777,286.2004663,286.4187709,286.2356241,285.3808136,283.977604,287.141,285.0518801,286.249113,286.7468661,285.1647925,283.3140273,286.3291287,286.5325819,286.3093954,285.3269348
967,1817,286.4034762,283.9768932,286.2383506,286.7317994,286.3192082,285.2647999,284.317376,287.46472,285.1033273,286.3869123,286.7157824,285.4004279,283.5465391,286.3036059,286.7277815,286.5443655,285.6312866
968,1818,286.5251485,283.9442378,286.4021295,286.9087651,286.5884821,285.3523655,284.6037935,287.54642,285.5273845,286.5857542,286.7807981,285.8523167,283.8016663,286.4007789,286.9886362,286.8021901,285.7540283
969,1819,286.4870654,284.0619559,286.5889502,286.5174878,286.9631166,285.5424403,284.7360051,287.6944,285.9241391,286.5382589,287.0410664,285.9107576,284.1248808,286.6030418,287.1961288,287.1288217,285.9788513
970,1820,286.4154792,284.3898076,286.6698179,286.6291237,287.170091,285.7644949,284.9709949,287.75613,285.9812969,286.6478641,287.2051784,286.0773277,284.3665159,286.5152667,287.1508515,287.3730115,286.1733398
971,1821,286.6246469,284.4569458,286.7707065,286.9110293,287.2627754,285.9867761,284.8409509,287.77725,286.0305482,286.6675929,287.348718,286.0937349,284.3135874,286.4018878,287.1508869,287.3195235,286.2998047
972,1822,286.6235328,284.6333651,286.9282861,286.9418405,287.4060857,286.1188633,284.706512,288.0214,286.0721071,286.6950746,287.3622725,286.0765347,284.2769556,286.3594017,287.3484735,287.2825043,286.252594
973,1823,286.5998636,284.5480966,286.8391075,286.7801502,287.4513078,286.2979713,284.4701269,288.0266,286.2928932,286.8123047,287.2061738,286.0965947,284.2675747,286.5328271,287.3006024,287.2730243,286.2804871
974,1824,286.6688723,284.457336,286.8182587,286.7190039,287.6009714,286.276503,284.5737209,287.92505,286.5175519,286.6665665,287.1294225,286.097915,284.5426235,286.3769941,287.3538453,287.550981,286.4594727
975,1825,286.6786251,284.4898467,286.9286697,286.9597621,287.4888324,286.4239618,284.6709082,288.01886,286.5234232,286.6139194,287.2781288,286.2641201,284.5269128,286.3324785,287.3549656,287.5351043,286.3807983
976,1826,286.662328,284.5531564,287.0350403,286.9373135,287.4694879,286.4672709,284.7604676,288.12955,286.4695891,286.720508,287.3980968,286.411377,284.1636433,286.3299352,287.3612781,287.1679941,286.2679138
977,1827,286.6313851,284.6828288,287.1295497,286.7748598,287.4350416,286.2036357,284.860311,288.08255,286.653241,286.7371275,287.3932865,286.331671,284.3330539,286.3696595,287.3171654,287.3391958,286.2993469
978,1828,286.7370327,284.654672,287.1343178,286.9277007,287.363226,286.243259,284.8519846,287.91666,286.5327,286.7594842,287.3858103,286.1137548,284.4921943,286.3687134,287.4106831,287.5000187,286.3946838
979,1829,286.7651013,284.529458,287.0031198,286.7098115,287.4889147,286.3881084,284.7237796,287.96005,286.3831852,286.7745572,287.3118557,286.1594563,284.6386327,286.1265404,287.3136071,287.6480054,286.3953247
980,1830,286.7301721,284.6119632,286.9993522,286.5383647,287.4541099,286.5246982,284.7565164,288.01404,286.5540933,286.7812612,287.2841262,286.1628684,284.6920531,286.131557,287.5079195,287.7019905,285.9233704
981,1831,286.6944288,284.6758222,286.9136422,286.7534064,287.4367185,286.443353,284.5969537,287.84692,286.735258,286.6882694,286.8912354,286.2457789,284.1667523,286.31569,287.3367953,287.1711359,285.9407654
982,1832,286.6693786,284.6146895,286.8858758,286.949526,286.9923712,286.151624,284.6053335,287.78467,286.3190169,286.741745,286.9090673,286.3481886,283.6099396,286.4259027,287.1811923,286.6084362,286.1968689
983,1833,286.714733,284.5723151,286.9507885,286.8781512,287.059155,286.1819791,284.6939019,287.8448,286.4220248,286.6957946,286.9848831,286.3809386,283.9002909,286.5735809,287.1214231,286.9018573,286.3248291
984,1834,286.6604562,284.6117844,286.7739253,286.6819938,287.2333874,286.2691953,284.7906978,288.03433,286.3766836,286.762188,287.1841628,286.1918392,284.268165,286.5871039,287.3258826,287.2736209,286.0096741
985,1835,286.5278528,284.3580265,286.6517865,286.8129783,287.0226276,286.1164934,284.6137618,287.8797,286.2244664,286.6285263,286.9494691,285.9052866,284.1176043,286.4256531,287.3009645,287.1214683,285.9931641
986,1836,286.5356011,284.3778136,286.6291725,286.9197632,286.8197233,286.1431902,284.6010997,287.80295,285.8982281,286.6824244,286.9871317,285.8803869,283.7573121,286.3544614,287.1518335,286.7573668,286.230072
987,1837,286.6226019,284.3018408,286.8255234,286.7679833,287.0670046,285.9483701,284.8325186,287.77353,286.1582989,286.7437639,287.2408209,286.0630609,283.9864339,286.3822066,287.1295511,286.9889111,286.2617798
988,1838,286.6790903,284.3784907,286.9686761,286.7466038,287.1537771,285.9307158,284.8667907,287.97098,286.2189628,286.7318185,287.3071844,286.1830378,284.4047645,286.4710218,287.3886093,287.4116645,286.2403564
989,1839,286.6642146,284.5031509,286.9998598,286.887361,287.2318281,286.2588751,284.9601641,288.20068,286.3284189,286.7209481,287.3520672,286.089885,284.5360599,286.600197,287.4227612,287.544348,286.3175354
990,1840,286.725032,284.6449921,287.0903729,286.8662272,287.361323,286.400505,284.9618047,288.10898,286.3941374,286.7777242,287.2642612,286.2222635,284.4911982,286.427452,287.4020961,287.499012,286.360321
991,1841,286.7498027,284.5623468,287.1218099,286.7244238,287.4629882,286.3886538,285.1243139,288.11047,286.3552349,286.8165884,287.3015834,286.3285494,284.7690177,286.4139211,287.2471969,287.7797688,286.4254761
992,1842,286.6174734,284.7571416,287.0240066,286.8414412,287.4156859,286.4945008,284.9433609,288.0728,286.4042955,286.6889062,287.3439176,286.3228028,284.8585193,286.4756004,287.3059547,287.8702167,286.3463135
993,1843,286.7763684,284.6947548,287.0523959,286.9221159,287.4670153,286.3832444,284.9377417,288.08344,286.4784711,286.6800605,287.2995268,286.2684833,284.6975915,286.3392523,287.3459104,287.7075875,286.4488831
994,1844,286.736912,284.6493507,287.0321609,286.8472144,287.4323781,286.3093913,285.0232684,288.19244,286.5587368,286.7539908,287.3729851,286.3552187,284.8969859,286.352959,287.3758136,287.90909,286.4644775
995,1845,286.6949042,284.6004197,286.9451814,286.7028008,287.4167602,286.3737937,285.0615815,288.20575,286.6246592,286.6426999,287.4768585,286.3997864,284.6931695,286.5100057,287.4275962,287.7031187,286.5082703
996,1846,286.7334572,284.6573753,287.1216453,286.8134409,287.3588991,286.3294051,285.0185997,288.23993,286.5524601,286.5999219,287.4829337,286.1351169,284.5379774,286.6864448,287.4037882,287.5462858,286.4771423
997,1847,286.7172197,284.6539381,287.3100235,287.0113207,287.4274599,286.4552251,284.9425421,287.95416,286.549496,286.6111498,287.2021123,285.9861918,284.6731905,286.73671,287.4333831,287.6829285,286.5144043
998,1848,286.7022096,284.717594,287.2424852,286.9967572,287.4096407,286.4679503,285.0638907,288.19086,286.7649764,286.676401,287.2920013,286.1354555,284.7282356,286.6821784,287.3404575,287.7385556,286.5363464
999,1849,286.7672855,284.715377,287.1793932,286.9225161,287.3361375,286.3544187,285.183071,288.28262,286.7434451,286.6351936,287.3646503,286.2433135,284.6847469,286.5837606,287.3218455,287.6946071,286.5408936
1000,1850,286.7333938,286.3340414,287.1230267,286.7718176,287.4021537,286.5339558,285.1296811,288.1045,286.5623344,286.6850026,286.9394238,286.2722864,285.7163456,286.6446392,285.5980276,287.205699,286.5162048
1001,1851,286.7939362,285.0679821,287.3074741,286.8634289,287.546025,286.3958595,285.3490682,288.26447,286.5847386,286.7018195,286.9911307,286.3982617,285.8071545,286.5361168,286.3395968,287.2969813,286.5375366
1002,1852,286.7516397,285.1073379,287.361616,286.9790965,287.5401861,286.2886568,285.3627302,288.18802,286.6288461,286.6727547,286.9106998,286.3059261,285.6456526,286.45231,286.3356708,287.1346375,286.5229797
1003,1853,286.7085325,284.994023,287.2553254,286.8657771,287.5366294,286.2760226,285.3815973,288.00378,286.5540778,286.7090884,286.8057655,286.1714602,285.6484871,286.4388553,286.4341527,287.1374868,286.4888
1004,1854,286.7311577,284.7884804,287.163372,286.6487993,287.5280749,286.2144069,285.3709094,288.01828,286.5037181,286.6755723,286.7664646,286.0994283,285.6108715,286.476094,286.5423301,287.0996751,286.4602356
